dataset_size,run,import_duration_sec,processed_tx_success
25,1,83.284,40.482415450788565
25,2,83.016,39.47512835209327
25,3,82.901,40.48731113035207
50,1,165.593,80.48731410174328
50,2,165.695,80.48436070084423
50,3,166.349,80.48192771084338
100,1,326.816,157.48111202112878
100,2,326.446,157.48207816588393
100,3,328.211,157.480122324159
200,1,678.335,323.4766270655435
200,2,676.724,323.47803929179366
200,3,678.120,323.4766270655435
400,1,1396.226,657.4704964369201
400,2,1397.136,656.4699140401146
400,3,1401.565,656.468102522784
